Adult Summary,Run Date: 01/09/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASELLE HATCHERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Range: 01/01/2007 - 01/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Brood,Adults In,Jacks In,Male Plant,Female Plant,Jack Plant,Adult Ship,Male Ship,Female Ship,Jack Ship,Male Morts,Female Morts,Jack Morts,Male Surplus,Female Surplus,Jack Surplus,Lethal Male Spawn,Lethal Female Spawn,Lethal Jack Spawn,Lethal NVF Spawn,Live Male Spawn,Live Female Spawn,Live Jack Spawn,Live NVF Spawn,Egg Count,Adults On Hand,Jacks On Hand,Mark Info,Other Mark,Checked for Wire,Wire Present,Wire Collected,CWT Detected Males,CWT Detected Females,CWT Detected Jacks,CWT Collected Males,CWT Collected Females,CWT Collected Jacks,Bag Number
07/28/2007,CO:NA:NASE:2007:H,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,N,N,N,,,,,,,
09/29/2008,CK:FA:NASE:2008:H,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,N,N,N,,,,,,,
10/05/2009,CK:FA:NASE:2009:H,0,0,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,AD,,Y,N,N,,,,,,,
10/05/2009,CK:FA:NASE:2009:H,0,0,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,UM,,Y,N,N,,,,,,,
10/05/2009,CK:FA:NASE:2009:M,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,N,N,N,,,,,,,
10/06/2009,CK:FA:NASE:2009:H,0,0,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,AD,,Y,N,N,,,,,,,
10/06/2009,CK:FA:NASE:2009:H,0,0,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,AD,,Y,Y,Y,0,0,0,0,0,0,
10/06/2009,CK:FA:NASE:2009:H,0,0,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,UM,,Y,N,N,,,,,,,
10/06/2009,CK:FA:NASE:2009:M,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,N,N,N,,,,,,,
10/12/2009,CK:FA:NASE:2009:H,0,0,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,AD,,Y,N,N,,,,,,,
10/12/2009,CK:FA:NASE:2009:H,0,0,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,AD,,Y,Y,Y,0,0,0,0,0,0,
10/12/2009,CK:FA:NASE:2009:M,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,N,N,N,,,,,,,
